obj,planner,starting_pose,goal_pose,env,result,run_time,started from start_pose
Cube,RRT,5,9,1,False,0.164187999999996,True
Cube,RRT,6,9,1,False,0.151920999999987,True
Cube,RRT,7,9,1,False,0.151792,True
Cube,RRT,8,9,1,False,0.157378000000023,True
Cube,RRT,9,9,1,False,0.164861999999999,True
Cube,RRT,0,0,2,False,0.156350000000003,True
Cube,RRT,1,0,2,False,0.159075999999999,True
Cube,RRT,2,0,2,False,0.175087000000019,True
Cube,RRT,3,0,2,False,0.167096999999984,True
Cube,RRT,4,0,2,False,0.161287999999985,True
Cube,RRT,5,0,2,False,0.156137000000001,True
Cube,RRT,6,0,2,False,0.152055000000018,True
Cube,RRT,7,0,2,False,0.163527000000016,True
Cube,RRT,8,0,2,False,0.153561999999994,True
Cube,RRT,9,0,2,False,0.151562000000013,True
Cube,RRT,0,1,2,False,0.15751800000001,True
Cube,RRT,1,1,2,False,0.157793999999996,True
Cube,RRT,2,1,2,False,0.164301999999992,True
Cube,RRT,3,1,2,False,0.15569499999998,True
Cube,RRT,4,1,2,False,0.152870000000007,True
Cube,RRT,5,1,2,False,0.148371999999995,True
Cube,RRT,6,1,2,False,0.146251999999976,True
Cube,RRT,7,1,2,False,0.184404999999998,True
Cube,RRT,8,1,2,False,0.159501000000006,True
Cube,RRT,9,1,2,False,0.157286999999997,True
Cube,RRT,0,2,2,False,0.157323999999989,True
Cube,RRT,1,2,2,False,0.161480000000012,True
Cube,RRT,2,2,2,False,0.155346000000009,True
Cube,RRT,3,2,2,False,0.155607000000003,True
Cube,RRT,4,2,2,False,0.154618000000028,True
Cube,RRT,5,2,2,False,0.158040000000028,True
Cube,RRT,6,2,2,False,0.165696000000025,True
Cube,RRT,7,2,2,False,0.152962000000002,True
Cube,RRT,8,2,2,False,0.157161000000031,True
Cube,RRT,9,2,2,False,0.157063999999991,True
Cube,RRT,0,3,2,False,0.156371999999976,True
Cube,RRT,1,3,2,False,0.156714000000022,True
Cube,RRT,2,3,2,False,0.156002000000001,True
Cube,RRT,3,3,2,False,0.15661399999999,True
Cube,RRT,4,3,2,False,0.169766000000038,True
Cube,RRT,5,3,2,False,0.156196000000023,True
Cube,RRT,6,3,2,False,0.159015000000011,True
Cube,RRT,7,3,2,False,0.160782999999981,True
Cube,RRT,8,3,2,False,0.164427999999987,True
Cube,RRT,9,3,2,False,0.164409999999975,True
Cube,RRT,0,4,2,False,0.155047000000025,True
Cube,RRT,1,4,2,False,0.165376999999978,True
Cube,RRT,2,4,2,False,0.154254000000037,True
Cube,RRT,3,4,2,False,0.159325000000024,True
Cube,RRT,4,4,2,False,0.151829000000021,True
Cube,RRT,5,4,2,False,0.161878999999999,True
Cube,RRT,6,4,2,False,0.155429000000026,True
Cube,RRT,7,4,2,False,0.156681999999989,True
Cube,RRT,8,4,2,False,0.160382000000027,True
Cube,RRT,9,4,2,False,0.157567000000029,True
Cube,RRT,0,5,2,False,0.152896999999996,True
Cube,RRT,1,5,2,False,0.15639699999997,True
Cube,RRT,2,5,2,False,0.157051999999965,True
Cube,RRT,3,5,2,False,0.156119000000047,True
Cube,RRT,4,5,2,False,0.161498999999992,True
Cube,RRT,5,5,2,False,0.157663999999954,True
Cube,RRT,6,5,2,False,0.163770999999997,True
Cube,RRT,7,5,2,False,0.15684200000004,True
Cube,RRT,8,5,2,False,0.15420499999999,True
Cube,RRT,9,5,2,False,0.163458999999989,True
Cube,RRT,0,6,2,True,0.840034000000003,True
Cube,RRT,1,6,2,True,0.676265,True
Cube,RRT,2,6,2,True,0.713802999999984,True
Cube,RRT,3,6,2,True,0.680695000000014,True
Cube,RRT,4,6,2,True,0.549909999999954,True
Cube,RRT,5,6,2,True,0.895727,True
Cube,RRT,6,6,2,True,0.817564000000004,True
Cube,RRT,7,6,2,True,0.812386000000004,True
Cube,RRT,8,6,2,True,0.641760999999974,True
Cube,RRT,9,6,2,True,0.534829000000002,True
Cube,RRT,0,7,2,True,0.847279000000014,True
Cube,RRT,1,7,2,True,0.831188999999995,True
Cube,RRT,2,7,2,True,0.660210000000006,True
Cube,RRT,3,7,2,True,1.07334099999997,True
Cube,RRT,4,7,2,True,0.753573,True
Cube,RRT,5,7,2,True,0.929491999999982,True
Cube,RRT,6,7,2,True,0.706013999999982,True
Cube,RRT,7,7,2,True,0.685101000000032,True
Cube,RRT,8,7,2,True,0.909924999999987,True
Cube,RRT,9,7,2,True,0.791938000000016,True
Cube,RRT,0,8,2,False,0.163964000000021,True
Cube,RRT,1,8,2,False,0.165462999999988,True
Cube,RRT,2,8,2,False,0.160931000000005,True
Cube,RRT,3,8,2,False,0.146937000000037,True
Cube,RRT,4,8,2,False,0.161360000000002,True
Cube,RRT,5,8,2,False,0.158824999999979,True
Cube,RRT,6,8,2,False,0.150526000000013,True
Cube,RRT,7,8,2,False,0.159559999999999,True
Cube,RRT,8,8,2,False,0.154154000000005,True
Cube,RRT,9,8,2,False,0.146420000000035,True
Cube,RRT,0,9,2,False,0.205547999999965,True
Cube,RRT,1,9,2,False,0.156703999999991,True
Cube,RRT,2,9,2,False,0.16223500000001,True
Cube,RRT,3,9,2,False,0.146681000000001,True
Cube,RRT,4,9,2,False,0.161707000000035,True
Cube,RRT,5,9,2,False,0.157725000000028,True
Cube,RRT,6,9,2,False,0.158241000000032,True
Cube,RRT,7,9,2,False,0.155790999999965,True
Cube,RRT,8,9,2,False,0.15716900000001,True
Cube,RRT,9,9,2,False,0.157224000000042,True
Cube,PRM*,0,0,0,True,0.386401,True
Cube,PRM*,1,0,0,True,0.523167,True
Cube,PRM*,2,0,0,True,0.495146,True
Cube,PRM*,3,0,0,True,0.512594999999999,True
Cube,PRM*,4,0,0,True,0.366001000000001,True
Cube,PRM*,5,0,0,True,0.432134000000001,True
Cube,PRM*,6,0,0,True,0.430301999999999,True
Cube,PRM*,7,0,0,True,0.462389000000002,True
Cube,PRM*,8,0,0,True,0.374535000000002,True
Cube,PRM*,9,0,0,True,0.551059000000002,True
Cube,PRM*,0,1,0,False,0.167002,True
Cube,PRM*,1,1,0,False,0.175267000000002,True
Cube,PRM*,2,1,0,False,0.167020000000001,True
Cube,PRM*,3,1,0,False,0.162316999999998,True
Cube,PRM*,4,1,0,False,0.158655,True
Cube,PRM*,5,1,0,False,0.158818,True
Cube,PRM*,6,1,0,False,0.158999999999999,True
Cube,PRM*,7,1,0,False,0.161111000000002,True
Cube,PRM*,8,1,0,False,0.163625,True
Cube,PRM*,9,1,0,False,0.187165,True
Cube,PRM*,0,2,0,True,0.582400999999997,True
Cube,PRM*,1,2,0,True,0.519505000000002,True
Cube,PRM*,2,2,0,True,0.475179000000004,True
